Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [0.000378ms] Simulation starting
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [0.295430ms] Service 1 running
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [3.175155ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [5.470870ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [6.328368ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [7.215544ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [8.134606ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [8.985402ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [9.902347ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [10.796900ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [11.687453ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [12.552577ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [12.557352ms] Service 1 yielding
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [12.565347ms] Service 2 running
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [13.459194ms] Service 2 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [14.332708ms] Service 2 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [15.199910ms] Service 2 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [16.076145ms] Service 2 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [16.943134ms] Service 2 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [17.817851ms] Service 2 computing
